Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Hubbard Power, LLC",Tinsley Drilling & Company Inc,G702-TIN-3,6/29/2026,7/29/2026,Jun 2026,Bill,Development : Construction : Construction Procore,"469,833.88 ","469,833.88 ",Paid In Full,FINAL INVOICE-LIEN WAIVER,7/31/2026
"Nexus Hubbard Power, LLC",WTG Gas Transmission,WTG-HUB-001,6/29/2026,7/30/2026,Jun 2026,Bill,Operations : Gas : Gas Procore,"4,223,120.58 ","4,223,120.58 ",Paid In Full,Q3 2026 Construction Draw,7/30/2026
"Nexus Hubbard Power, LLC",WTG Gas Transmission,WTG-MAY-001,6/29/2026,7/30/2026,Jun 2026,Bill,Operations : Gas : Gas Procore,"18,277,202.40 ","18,277,202.40 ",Paid In Full,Q3 2026 Construction Draw,7/30/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1013,6/30/2026,7/15/2026,Jun 2026,Bill,Infrastructure : Site Services - Infra,"3,977.20 ","3,977.20 ",Paid In Full,Lawncave Maintenance,7/10/2026
"Nexus Apex Holdings, LLC",WR Utilities & Excavation,1120,6/30/2026,7/30/2026,Jun 2026,Bill,Development : Engineering : Engineering Procore,"11,890,353.00 ",0.00 ,Open,Labor and Materials,
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2025-NEX-001-F002,6/30/2026,7/15/2026,Jul 2026,Bill,Development : Project Management : Project Management Procore,"1,572,789.00 ","1,572,789.00 ",Paid In Full,Base Fee pmt 2,7/31/2026
"Nexus Data Centers, LLC",Robert Havlick,2026-06-002,6/30/2026,7/15/2026,Jun 2026,Bill,Corporate : Workforce,"20,833.00 ","20,833.00 ",Paid In Full,6/1/26 – 6/30/26,7/16/2026
"Nexus Land Holdings, LLC",American Craftsmen,2325,6/30/2026,6/30/2026,Jun 2026,Bill,Infrastructure : Site Services - Infra,"8,640.46 ","8,640.46 ",Paid In Full,Labor,7/17/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26543,6/30/2026,7/29/2026,Jun 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"34,085,529.74 ","34,085,529.74 ",Paid In Full,30% PROGRESS PAYMENT READINESS FOR SHIPMENT,7/30/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26544,6/30/2026,7/29/2026,Jun 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"12,824,172.80 ","12,824,172.80 ",Paid In Full,30% PROGRESS PAYMENT READINESS FOR SHIPMENT,7/30/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3457,6/30/2026,6/30/2026,Jun 2026,Bill,Corporate : Accounting,"21,896.25 ",0.00 ,Pending Approval,Consulting General and ERP April 6th  to Dec,
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,4709283200-6.30.26,6/30/2026,7/16/2026,Jun 2026,Bill,Operations : Utilities : Utilities Gen,"28,012.08 ","28,012.08 ",Paid In Full,Commercial Post Oak water bill (includes late fees),7/28/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,5302601-05,6/30/2026,7/30/2026,Jun 2026,Bill,Development : Construction : Construction Procore,"335,446,630.01 ","16,598,093.13 ",Open,53026-01 - Hubbard Mobilization,
"Nexus Land Holdings, LLC","AirGas USA, LLC",5525850282,6/30/2026,7/30/2026,Jun 2026,Bill,Infrastructure : Site Services - Infra,7.94 ,7.94 ,Paid In Full,Rent Cyl Ind Small Carbon Dioxide,7/31/2026
"Nexus Land Holdings, LLC","AirGas USA, LLC",5525850457,6/30/2026,7/30/2026,Jun 2026,Bill,Infrastructure : Site Services - Infra,7.94 ,7.94 ,Paid In Full,Rent Cyl Ind Small Carbon Dioxide,7/31/2026
"Nexus Apex Holdings, LLC","Jarvis-Paris-Murphy Co., Inc.",56032,6/30/2026,6/30/2026,Jun 2026,Bill,Operations : Utilities : Utilities Gen,600.00 ,600.00 ,Paid In Full,Tower Rent at Magnolia Manor July,7/10/2026
"Nexus Land Holdings, LLC",Luisa V Savage,9,6/30/2026,6/30/2026,Jun 2026,Bill,Infrastructure : Site Services - Infra,"3,105.85 ","3,105.85 ",Paid In Full,Site Services,7/6/2026
"Nexus Data Centers, LLC",Capitol Corporate Services,9710267,6/30/2026,6/30/2026,Jun 2026,Bill,Corporate : Legal,433.32 ,433.32 ,Paid In Full,June - REGISTERED AGENT SERVICES,7/17/2026
"Nexus Hubbard Power, LLC",NAES Corporation,NAES-IN000039206,6/30/2026,7/30/2026,Jun 2026,Bill,Operations : O&M : O&M Procore,"47,444.25 ","47,444.25 ",Paid In Full,O&M: March - April,8/7/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1194,7/1/2026,7/31/2026,Jul 2026,Bill,Infrastructure : Acquisition costs - Infra,"9,787.50 ","9,787.50 ",Paid In Full,Land Acquisition - Legal Fees,7/31/2026
Nexus Bastion Holdings LLC,"Trapp Law Firm, PC",1196,7/1/2026,7/31/2026,Jul 2026,Bill,Infrastructure : Acquisition costs - Infra,"12,600.00 ","12,600.00 ",Paid In Full,Land Acquisition - Legal Fees,8/7/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,14770,7/1/2026,7/1/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,52.46 ,52.46 ,Paid In Full,Site Services,7/6/2026
"Nexus Data Centers, LLC",wework,202600002508,7/1/2026,7/1/2026,Jul 2026,Bill,Corporate : HQ / Office,"25,414.55 ","25,414.55 ",Paid In Full,June rent and July CAM,7/2/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26563,7/1/2026,7/30/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"517,159.56 ","517,159.56 ",Paid In Full,30 percent due with PO execution,7/31/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,4036,7/1/2026,7/1/2026,Jul 2026,Bill,Infrastructure : Acquisition costs - Infra,"33,875.00 ","33,875.00 ",Paid In Full,Nexus - Closing,7/6/2026
Nexus Bastion Holdings LLC,ONPOINT Transactions LLC,4037,7/1/2026,7/1/2026,Jul 2026,Bill,Infrastructure : Acquisition costs - Infra,"7,500.00 ","7,500.00 ",Paid In Full,Nexus - Closing,7/6/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,4038,7/1/2026,7/1/2026,Jul 2026,Bill,Infrastructure : Acquisition costs - Infra,"3,845.14 ","3,845.14 ",Paid In Full,Nexus - Closing,7/6/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,42078,7/1/2026,7/31/2026,Jul 2026,Bill,Corporate : Marketing / Branding,433.00 ,433.00 ,Paid In Full,Banners,7/31/2026
"Nexus Land Holdings, LLC",Uline,55181759,7/1/2026,7/31/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,"6,936.02 ","6,936.02 ",Paid In Full,Steel DRY ERASE BOARDS,7/31/2026
"Nexus Data Centers, LLC","Tipalti, Inc.",829286,7/1/2026,7/31/2026,Jul 2026,Bill,Corporate : Accounting,"5,330.00 ","5,330.00 ",Paid In Full,AP Elevate Implementation,7/31/2026
"Nexus Data Centers, LLC","Tipalti, Inc.",829287,7/1/2026,8/30/2026,Jul 2026,Bill,Corporate : Accounting,"26,898.32 ",0.00 ,Pending Approval,AP Elevate Core Plan Base Fee,
"Nexus Data Centers, LLC",Venara LLC,VEN-007,7/1/2026,7/16/2026,Jul 2026,Bill,Corporate : Workforce,"30,673.93 ","30,673.93 ",Paid In Full,Monthly Management Fee,7/17/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-06,7/2/2026,8/1/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"2,878,201.35 ","2,878,201.35 ",Paid In Full,EUT-06 Billing for June 2026,7/31/2026
"Nexus Data Centers, LLC","Michael Hoops, Attorney at Law, PLLC",396,7/2/2026,8/1/2026,Jul 2026,Bill,Corporate : Legal,"3,500.00 ","3,500.00 ",Paid In Full,Flat rate,8/14/2026
"Nexus Data Centers, LLC","Michael Hoops, Attorney at Law, PLLC",397,7/2/2026,8/1/2026,Jul 2026,Bill,Corporate : Legal,"1,750.00 ","1,750.00 ",Paid In Full,Flat rate,8/14/2026
"Nexus Land Holdings, LLC","Star Tex Propane, LLC",463227,7/2/2026,,Jul 2026,Bill,Infrastructure : Site Services - Infra,110.00 ,110.00 ,Paid In Full,Recurring Charge for Tank #96379,7/24/2026
"Nexus Apex Holdings, LLC","TriArc Construction, LLC",TriArc-001,7/2/2026,8/1/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"825,153.08 ",0.00 ,Open,1st application to pay,
Nexus Alpha I LLC,Liberty Mutual Insurance Company,000424,7/3/2026,8/1/2026,Jul 2026,Bill,Development : Insurance,"5,103.00 ",0.00 ,Open,workers comp,
Nexus Bastion Holdings LLC,Datasite LLC,INV-949205,7/5/2026,8/4/2026,Jul 2026,Bill,Corporate : Finance,107.88 ,107.88 ,Paid In Full,01-Jun-26 to 30-Jun-26,7/31/2026
Nexus Alpha I LLC,Datasite LLC,INV-950504,7/5/2026,8/4/2026,Jul 2026,Bill,Corporate : Finance,"33,949.22 ","33,949.22 ",Paid In Full,June 2026,7/31/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,42108,7/6/2026,8/5/2026,Jul 2026,Bill,Corporate : Marketing / Branding,"22,083.00 ","22,083.00 ",Paid In Full,Signage,7/31/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803723,7/6/2026,7/17/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"250,461.32 ","250,461.32 ",Paid In Full,Equipment Supply Contract  5306425- body of contract (9/26/2025) - 13 units and change order,7/30/2026
Nexus Alpha I LLC,Marsh USA LLC,801029763907,7/6/2026,7/31/2026,Jul 2026,Bill,Operations : Insurance,"4,709,047.50 ","4,709,047.50 ",Paid In Full,DSU Addition to builders risk,7/31/2026
"Nexus Apex Holdings, LLC",FastSigns,EST-146707,7/6/2026,7/6/2026,Jul 2026,Bill,Corporate : Marketing / Branding,"5,212.24 ","5,212.24 ",Paid In Full,Installation & Work on Design,7/6/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-008,7/6/2026,7/21/2026,Jul 2026,Bill,Corporate : Workforce,"53,000.00 ","53,000.00 ",Paid In Full,Recruitment Fee,7/24/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-009,7/6/2026,7/21/2026,Jul 2026,Bill,Corporate : Workforce,"47,000.00 ","47,000.00 ",Paid In Full,Recruitment Fee,7/17/2026
Nexus Data Centers Hubbard LLC,Kwant,2026-076R,7/7/2026,,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"109,264.87 ","109,264.87 ",Paid In Full,Enterprise plan,8/6/2026
Nexus Data Centers Hubbard LLC,Kwant,2026-103,7/7/2026,,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"17,320.00 ","17,320.00 ",Paid In Full,badges,8/6/2026
Nexus Alpha I LLC,Michels Construction inc,21265108,7/7/2026,8/7/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"83,880.00 ",0.00 ,Open,Network Design to Project Apex,
"Nexus Data Centers, LLC",Oracle NetSuite,2537244,7/7/2026,8/6/2026,Jul 2026,Bill,Corporate : IT : Services / License,"14,913.33 ","14,913.33 ",Paid In Full,Cloud Service/General user access,7/31/2026
Nexus Data Centers Hubbard LLC,Vision Integrated Systems,2554,7/7/2026,7/7/2026,Jul 2026,Bill,Development : Site Services : Site Services Procore,"152,308.48 ","152,308.48 ",Paid In Full,Security System Holdings,7/31/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260522_001,7/7/2026,8/6/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"2,136,130.53 ","2,136,130.53 ",Paid In Full,Long Lead Items - Installation Materials for BESS phase 1A,7/31/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260706_001,7/7/2026,8/6/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"1,094,611.80 ","1,094,611.80 ",Paid In Full,Mobilization for BESS installation,7/31/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26602,7/7/2026,8/6/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"3,989,888.95 ","3,989,888.95 ",Paid In Full,30 percent due upon readiness for shipment,8/10/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,43427-06,7/7/2026,8/6/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"1,496,151.64 ","1,496,151.64 ",Paid In Full,LNTP 02-16-2026,8/7/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259001-7,7/7/2026,8/6/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"7,471,199.26 ","7,471,199.26 ",Paid In Full,Period ending 6/30,8/7/2026
"Nexus Land Holdings, LLC",Champion Energy Services,Champion-07-07-26,7/7/2026,7/22/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,338.53 ,338.53 ,Paid In Full,July Payments,7/7/2026
"Nexus Land Holdings, LLC",Earnest Richardson,check 1104,7/7/2026,7/7/2026,Jul 2026,Bill,Infrastructure : Residential Improvements - Infra,"1,500.00 ","1,500.00 ",Paid In Full,paid via check 1104,7/7/2026
"Nexus Land Holdings, LLC",Earnest Richardson,check 1105,7/7/2026,7/7/2026,Jul 2026,Bill,Infrastructure : Residential Improvements - Infra,"2,275.00 ","2,275.00 ",Paid In Full,paid via check 1105,7/7/2026
"Nexus Land Holdings, LLC",R&H Pro Clean,01,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,"2,820.64 ","2,820.64 ",Paid In Full,City Civic Center Deep Clean,7/17/2026
"Nexus Data Centers, LLC",CT LIEN SOLUTIONS,04360823,7/8/2026,8/7/2026,Jul 2026,Bill,Corporate : Legal,136.80 ,0.00 ,Open,Lien Services,
"Nexus Apex Holdings, LLC",AFCO Credit Corporation,1180688-070826,7/8/2026,7/23/2026,Jul 2026,Bill,Corporate : Finance,"4,763,888.04 ","4,763,888.04 ",Paid In Full,Loan Payment 7/8/26,7/24/2026
"Nexus Land Holdings, LLC",Serna Serrvices,18947,7/8/2026,8/3/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,"1,055.44 ","1,055.44 ",Paid In Full,Service Call With Repairs,8/7/2026
Nexus Alpha I LLC,Exhibit Technologies,4512,7/8/2026,8/8/2026,Jul 2026,Bill,Development : Utilities : Utilities Gen,"7,948.80 ","7,948.80 ",Paid In Full,warehouse graphics,8/14/2026
"Nexus Land Holdings, LLC",Hill County Pest and Termite,8371,7/8/2026,8/7/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,178.56 ,178.56 ,Paid In Full,Quarterly Service,8/7/2026
"Nexus Land Holdings, LLC",Hill County Pest and Termite,8372,7/8/2026,8/7/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,178.56 ,178.56 ,Paid In Full,Quarterly Service,8/7/2026
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000016,7/8/2026,8/7/2026,Jul 2026,Bill,Corporate : Workforce,"46,000.00 ","46,000.00 ",Paid In Full,Recruitment Fee,8/7/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,Check 1107,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,133.02 ,133.02 ,Paid In Full,paid via check 1107,7/8/2026
"Nexus Land Holdings, LLC",Rachel Massey,RM070826,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,"1,116.14 ","1,116.14 ",Paid In Full,06/25/26 ? 07/08/26,7/17/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1106,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,40.00 ,40.00 ,Paid In Full,paid via check 1106,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1108,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,98.68 ,98.68 ,Paid In Full,paid via check 1108,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1109,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,45.22 ,45.22 ,Paid In Full,paid via check 1109,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1110,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,40.43 ,40.43 ,Paid In Full,paid via check 1110,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1111,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,40.00 ,40.00 ,Paid In Full,paid via check 1111,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1112,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,63.03 ,63.03 ,Paid In Full,paid via check 1112,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1113,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,40.00 ,40.00 ,Paid In Full,paid via check 1113,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1114,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,40.00 ,40.00 ,Paid In Full,paid via check 1114,7/8/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,check 1115,7/8/2026,7/8/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,40.00 ,40.00 ,Paid In Full,paid via check 1115,7/8/2026
"Nexus Land Holdings, LLC",The Noble Savage,#000002,7/9/2026,7/15/2026,Jul 2026,Bill,Corporate : Marketing / Branding,974.25 ,974.25 ,Paid In Full,Sandwich meal with  dessert,7/24/2026
"Nexus Data Centers, LLC","Oracle America, Inc",102610820,7/9/2026,8/8/2026,Jul 2026,Bill,Corporate : IT : Services / License,"31,917.47 ","31,917.47 ",Paid In Full,Primavera P6 Enterprise Project Portfolio Management,8/7/2026
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2025-NEX-001-008,7/9/2026,7/24/2026,Jun 2026,Bill,Development : Project Management : Project Management Procore,"650,113.24 ","650,113.24 ",Paid In Full,Billing period 5.30.26 - 6.26.26,8/6/2026
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000018,7/9/2026,8/8/2026,Jul 2026,Bill,Corporate : Workforce,"42,000.00 ","42,000.00 ",Paid In Full,Placement Fee,8/7/2026
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000019,7/9/2026,8/8/2026,Jul 2026,Bill,Corporate : Workforce,"44,000.00 ","44,000.00 ",Paid In Full,Placement Fee,8/7/2026
"Nexus Data Centers, LLC",Signature Aspen,INV131132,7/9/2026,7/9/2026,Jul 2026,Bill,Corporate : Marketing / Branding,331.96 ,331.96 ,Paid In Full,Sintra Prints,7/31/2026
"Nexus Land Holdings, LLC",The Noble Savage,#000003,7/10/2026,7/16/2026,Jul 2026,Bill,Corporate : Marketing / Branding,"2,165.00 ","2,165.00 ",Paid In Full,2 meat lunch plate  with dessert,7/24/2026
"Nexus Data Centers, LLC",Business Branders LLC,10074,7/10/2026,8/9/2026,Jul 2026,Bill,Corporate : Marketing / Branding,"1,326.02 ","1,326.02 ",Paid In Full,Twill Caps,8/7/2026
"Nexus Hubbard Power, LLC","Maverick Constructors, LLC",1139-WTG-MAY-003,7/10/2026,7/25/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"4,609,022.11 ","4,609,022.11 ",Paid In Full,,8/12/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",166749,7/10/2026,12/8/2025,Jul 2026,Bill,Development : Engineering : Engineering Procore,"71,393.75 ","71,393.75 ",Paid In Full,"Professional Services from April 25, 2026 to June 26, 2026",8/7/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",166750,7/10/2026,,Jul 2026,Bill,Development : Engineering : Engineering Procore,"19,778.00 ","19,778.00 ",Paid In Full,"Professional Services from April 25, 2026 to May 29, 202",8/7/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26641,7/10/2026,8/9/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"71,962,718.98 ","71,962,718.98 ",Paid In Full,PROGRESS PAYMENT 30% UPON PO EXECUTION FOR HB3&4 MV SWGEAR,8/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26642,7/10/2026,8/9/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"1,662,866.47 ","1,662,866.47 ",Paid In Full,30% UPON PO EXECUTION FOR HB3&4 GENS,8/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26643,7/10/2026,8/9/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"18,676,858.18 ","18,676,858.18 ",Paid In Full,30% UPON PO EXECUTION FOR HB3&4 UPS/INVERTERS,8/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26644,7/10/2026,8/9/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"38,002,169.41 ","38,002,169.41 ",Paid In Full,30% UPON PO EXECUTION,8/10/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,42138,7/10/2026,8/9/2026,Jul 2026,Bill,Corporate : Marketing / Branding,129.90 ,129.90 ,Paid In Full,Magnets/Stickers,8/7/2026
"Nexus Land Holdings, LLC",Champion Energy Services,Champion 07-10-26,7/10/2026,7/25/2026,Jul 2026,Bill,Infrastructure : Utilities - Infra,265.18 ,265.18 ,Paid In Full,July Payments,7/10/2026
"Nexus Data Centers, LLC","LoadSpring Solutions, Inc",INV016752,7/10/2026,8/9/2026,Jul 2026,Bill,Corporate : IT : Services / License,"2,251.40 ","2,251.40 ",Paid In Full,Oracle|Primavera P6 EPPM Environment,8/7/2026
"Nexus Land Holdings, LLC",Earnest Richardson,check 1117,7/10/2026,7/10/2026,Jul 2026,Bill,Infrastructure : Residential Improvements - Infra,"1,472.00 ","1,472.00 ",Paid In Full,paid via check 1117,7/10/2026
"Nexus Land Holdings, LLC",Brian Stroud,check 1120,7/10/2026,7/10/2026,Jul 2026,Bill,Infrastructure : Residential Improvements - Infra,"2,800.00 ","2,800.00 ",Paid In Full,paid via check 1120,7/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26653,7/12/2026,8/11/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"19,876,088.54 ","19,876,088.54 ",Paid In Full,30% UPON PO EXECUTION,8/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26654,7/12/2026,8/11/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"27,626,805.23 ","27,626,805.23 ",Paid In Full,30% UPON PO EXECUTION,8/10/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26655,7/12/2026,8/11/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"1,119,598.00 ","1,119,598.00 ",Paid In Full,30% UPON PO EXECUTION,8/10/2026
"Nexus Land Holdings, LLC",Cafe Cappuccino,#000025,7/13/2026,7/14/2026,Jul 2026,Bill,Corporate : Marketing / Branding,"4,206.44 ","4,206.44 ",Paid In Full,Custom catering for 7/14 and 7/15/26,7/24/2026
"Nexus Land Holdings, LLC",R&H Pro Clean,03,7/13/2026,7/13/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,"2,489.36 ","2,489.36 ",Paid In Full,City Civic Center Deep Clean,7/17/2026
"Nexus Land Holdings, LLC",R&H Pro Clean,03-2,7/13/2026,7/13/2026,Jul 2026,Bill,Infrastructure : Site Services - Infra,609.10 ,609.10 ,Paid In Full,Facility Maintenance,7/17/2026
Nexus Data Centers Hubbard LLC,"Bron & Claude Engineering, LLC",0618,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Engineering : Engineering Procore,"1,062,500.00 ","1,062,500.00 ",Paid In Full,25% Of Order,8/13/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10535037,7/13/2026,7/13/2026,Jun 2026,Bill,Corporate : Legal,"1,488.20 ","1,488.20 ",Paid In Full,"Services Rendered Through June 30, 2026",7/31/2026
"Nexus Hubbard Power, LLC","Maverick Constructors, LLC",1153-WTG-MAY-002,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"1,569,961.17 ","1,569,961.17 ",Paid In Full,,8/12/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200843761,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Engineering : Engineering Procore,"1,112,988.20 ","1,112,988.20 ",Paid In Full,31-May-2026 To:    27-Jun-2026,8/6/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200843763,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Engineering : Engineering Procore,"1,378,250.00 ","1,378,250.00 ",Paid In Full,31-May-2026 To: 27-Jun-2026,8/6/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200843766,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Engineering : Engineering Procore,"526,955.00 ","526,955.00 ",Paid In Full,31-May-2026 To:   27-Jun-2026,8/6/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200844274,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Engineering : Engineering Procore,"676,472.90 ","676,472.90 ",Paid In Full,31-May-2026 To:   27-Jun-2026,8/6/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200844346,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Engineering : Engineering Procore,"348,400.94 ","348,400.94 ",Paid In Full,31-May-2026 To:   27-Jun-2026,8/6/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,365,7/13/2026,7/23/2026,Jul 2026,Bill,Operations : Utilities : Utilities Gen,"8,850.00 ","8,850.00 ",Paid In Full,Commercial Invoice - repairs,7/24/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,366,7/13/2026,7/13/2026,Jul 2026,Bill,Operations : Utilities : Utilities Gen,"14,160.00 ","14,160.00 ",Paid In Full,Commercial Invoice - repairs,7/24/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,367,7/13/2026,7/13/2026,Jul 2026,Bill,Operations : Utilities : Utilities Gen,"31,800.00 ","31,800.00 ",Paid In Full,Commercial Invoice - meter relocation,7/24/2026
"Nexus Apex Holdings, LLC",Marsh USA LLC,429056349348,7/13/2026,7/31/2026,Jul 2026,Bill,Operations : Insurance,"120,000.00 ",0.00 ,Pending Approval,Surety Invoice,
"Nexus Hubbard Power, LLC",Honeywell International Inc.,5273376708,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Asset Procurement : Asset Procurement Gen,"654,105.36 ","654,105.36 ",Paid In Full,Hardware Order 1,8/7/2026
Nexus Data Centers Hubbard LLC,Carrier Corporation,910577280,7/13/2026,8/12/2026,Jul 2026,Bill,Development : Construction : Construction Procore,"111,448.80 ","111,448.80 ",Paid In Full,InvoiceMilestone:30%,8/13/2026
"Nexus Data Centers, LLC",Alice Allen Events,INV-00169,7/13/2026,7/13/2026,Jul 2026,Bill,Corporate : Marketing / Branding,"1,500.00 ","1,500.00 ",Paid In Full,Event Management: Catering,7/17/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-011,7/13/2026,7/28/2026,Jul 2026,Bill,Corporate : Workforce,"50,000.00 ","50,000.00 ",Paid In Full,Recruitment Fee,7/24/2026
