Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Data Centers, LLC",Houston Limo Chauffeur LLC,659,5/29/2026,5/29/2026,May-26,Bill,Corporate : Corporate,1424.27,1424.27,Paid In Full,Executives Car Services,6/5/2026
"Nexus Data Centers, LLC",Capitol Corporate Services,9703550,5/29/2026,,May-26,Bill,Corporate : Legal,0,0,Pending Approval,Registered Agent Services 04/26-03/27,
"Nexus Land Holdings, LLC",Post Oak Special Utility District,PostOak052026,5/29/2026,5/29/2026,May-26,Bill,Infrastructure : Utilities - Infra,553.18,553.18,Paid In Full,May-26,6/12/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,12,5/31/2026,6/1/2026,May-26,Bill,Infrastructure : Site Services - Infra,468.14,468.14,Paid In Full,"Service date May 28, 2026",6/5/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,15,5/31/2026,6/3/2026,May-26,Bill,Infrastructure : Site Services - Infra,520.16,520.16,Paid In Full,"Service date June 3, 2026",6/5/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1008,5/31/2026,6/15/2026,May-26,Bill,Infrastructure : Site Services - Infra,3503,3503,Paid In Full,Lawn care,6/12/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1173,5/31/2026,6/30/2026,May-26,Bill,Infrastructure : Acquisition costs - Infra,14917.5,0,Open,May - Land Acquisition - Legal Fees,
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1176,5/31/2026,6/30/2026,May-26,Bill,Infrastructure : Acquisition costs - Infra,5377.5,0,Open,May - Legal Invoices,
"Nexus Data Centers, LLC","Michael Hoops, Attorney at Law, PLLC",253,5/31/2026,6/30/2026,May-26,Bill,Corporate : Legal,3500,0,Pending Approval,Michael Hoops - Flat Rate,
"Nexus Land Holdings, LLC",Luisa V Savage,7,5/31/2026,6/30/2026,May-26,Bill,Infrastructure : Site Services - Infra,2633.16,2633.16,Paid In Full,,6/12/2026
"Nexus Data Centers, LLC",Business Branders LLC,9990,5/31/2026,6/30/2026,May-26,Bill,Corporate : Marketing / Branding,9338.47,0,Open,Various Branded Items - May,
"Nexus Hubbard Power, LLC",NAES Corporation,NAES-IN000037823,5/31/2026,6/30/2026,May-26,Bill,Operations : O&M : O&M Procore,56731.25,0,Pending Approval,O&M: March - April,
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13733,6/1/2026,6/1/2026,Jun-26,Bill,Infrastructure : Site Services - Infra,24.84,24.84,Paid In Full,HUBBARD FARM AND RANCH Purchases,6/5/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,1709284000.6.1.2026,6/1/2026,6/16/2026,Jun-26,Bill,Operations : Utilities : Utilities Gen,8547,8547,Paid In Full,Commercial From 4/28/2026 TО 5/29/2026,6/11/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,1709776179.6.1.2026,6/1/2026,6/16/2026,Jun-26,Bill,Operations : Utilities : Utilities Gen,6890,6890,Paid In Full,[Commercial] From 4/28/2026 TO 5/29/2026,6/11/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3936,6/1/2026,6/1/2026,Jun-26,Bill,Infrastructure : Acquisition costs - Infra,3500,3500,Paid In Full,Apex - May 2026,6/5/2026
"Nexus Data Centers, LLC",ONPOINT Transactions LLC,3937,6/1/2026,6/1/2026,Jun-26,Bill,Infrastructure : Acquisition costs - Infra,687.81,0,Pending Approval,Travel Expenses - May 2026,
"Nexus Data Centers, LLC",ONPOINT Transactions LLC,3938,6/1/2026,6/1/2026,Jun-26,Bill,Infrastructure : Acquisition costs - Infra,7000,7000,Paid In Full,Nexus Bastion - May 2026,6/5/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,4709283200.6.1.12026,6/1/2026,6/16/2026,Jun-26,Bill,Operations : Utilities : Utilities Gen,8447,8447,Paid In Full,From 4/28/2026 TO 5/29/2026,6/11/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,50842,6/1/2026,7/1/2026,Jun-26,Bill,Development : Construction : Construction Procore,149250.06,0,Pending Approval,"Mobilization of Batch Plant - LNTP 1/30/26, executed contract 3/25/26",
"Nexus Data Centers, LLC","Ultera, llc",661,6/1/2026,6/16/2026,Jun-26,Bill,Corporate : Workforce,60000,60000,Paid In Full,Recruitment Fees for Staffing,6/12/2026
"Nexus Data Centers, LLC","Netgain Solutions, Inc.",INV13810,6/1/2026,7/1/2026,Jun-26,Bill,Corporate : Accounting,1212.58,0,Open,NetAsset for NetSuite NetAsset for Netsuite annual license and support fees.,
"Nexus Data Centers, LLC",Venara LLC,VEN-004,6/1/2026,6/16/2026,Jun-26,Bill,Corporate : Workforce,30752.71,30752.71,Paid In Full,Venara Recruitment Management Fee (June) & Expenses,6/12/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-005,6/1/2026,6/16/2026,Jun-26,Bill,Corporate : Workforce,47000,47000,Paid In Full,Recruitment Fee - Subcontracts Manager,6/12/2026
"Nexus Apex Holdings, LLC","PA Consulting Group, Inc.",11016,6/2/2026,7/2/2026,Jun-26,Bill,Corporate : Finance,70000,0,Pending Approval,IE Report (May 2026 Invoice),
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13780,6/2/2026,6/2/2026,Jun-26,Bill,Infrastructure : Site Services - Infra,13.04,13.04,Paid In Full,SNAKE-A-WAY 1.75LB,6/5/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,5302601-03,6/2/2026,6/17/2026,Jun-26,Bill,Development : Construction : Construction Procore,30017240.1,0,Open,Pay app: Period to - 5/28/26,
"Nexus Data Centers, LLC",Marsh USA LLC,8.01024E+11,6/2/2026,6/30/2026,Jun-26,Bill,Operations : Insurance,66626.14,0,Pending Approval,Cargo DSU insurance,
Nexus Data Centers Hubbard LLC,"Rountree Towers, Inc",1121,6/3/2026,6/18/2026,Jun-26,Bill,Development : Fiber : Fiber Procore,102182.03,0,Open,May 29 invoice - received in June,
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",165167,6/3/2026,7/3/2026,Jun-26,Bill,Development : Engineering : Engineering Procore,66187.65,0,Pending Approval,"March 28, 2026 to April 24, 2026",
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",165168,6/3/2026,7/3/2026,Jun-26,Bill,Development : Engineering : Engineering Procore,44924,0,Pending Approval,"March 28, 2026 to April 24, 2026",
"Nexus Data Centers, LLC",Arcus Advisors LLC,3411,6/3/2026,6/3/2026,Jun-26,Bill,Corporate : Accounting,48358.75,0,Pending Approval,May 17 - May 30,
"Nexus Apex Holdings, LLC",AFCO Credit Corporation,1180688-06042026,6/4/2026,6/23/2026,Jun-26,Bill,Corporate : Finance,4763888.04,0,Pending Approval,Loan Payment 6/4/26,
"Nexus Apex Holdings, LLC","PA Consulting Group, Inc.",11047,6/5/2026,7/5/2026,Jun-26,Bill,Corporate : Finance,15000,0,Pending Approval,IE Report (Final Invoice),
"Nexus Data Centers, LLC",Datasite LLC,INV-939118,6/5/2026,7/5/2026,Jun-26,Bill,Corporate : Finance,89016.76,0,Pending Approval,01-May-26 to 31-May-26,
"Nexus Data Centers, LLC",Aspen Imaging LLC,INV130296,6/5/2026,6/5/2026,Jun-26,Bill,Corporate : Marketing / Branding,598.03,598.03,Paid In Full,Nexus Business Cards,6/12/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13965,6/8/2026,6/8/2026,Jun-26,Bill,Infrastructure : Site Services - Infra,23.76,23.76,Paid In Full,DUCK & GOOSE LAYER  PELLETS 25#,6/12/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-05,6/8/2026,7/8/2026,Jun-26,Bill,Development : Construction : Construction Procore,7521082.65,0,Pending Approval,Main Services Agreement - Site GC (Base Contract),
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26301,6/8/2026,7/8/2026,Jun-26,Bill,Development : Asset Procurement : Asset Procurement Procore,4194549,0,Pending Approval,Progress payment,
"Nexus Land Holdings, LLC","Roger A. Soape, Inc.",4928,6/8/2026,6/8/2026,Jun-26,Bill,Infrastructure : Legal - Infra,3000,3000,Paid In Full,5/4/2026 To 5/17/2026,6/15/2026
"Nexus Data Centers, LLC","Ultera, llc",662,6/8/2026,6/23/2026,Jun-26,Bill,Corporate : Workforce,55000,0,Pending Approval,Recruiting fees for start-up staffing,
"Nexus Data Centers, LLC","Ultera, llc",664,6/8/2026,6/23/2026,Jun-26,Bill,Corporate : Workforce,28000,0,Open,Recruiting fees for start-up staffing,
"Nexus Apex Holdings, LLC",michels construction inc,MCI 8,6/8/2026,7/8/2026,Jun-26,Bill,Development : Fiber : Fiber Procore,94656.25,0,Pending Approval,Job 25215103 Fiber Carrier Engagement & OSP Fiber Network Design to Project Apex,
"Nexus Apex Holdings, LLC",Milbank,1054638,6/9/2026,,Jun-26,Bill,Corporate : Legal,201107.02,0,Pending Approval,"Professional Services through June 9, 2026",
"Nexus Data Centers, LLC","Oracle America, Inc.",102566375,6/9/2026,7/9/2026,Jun-26,Bill,Corporate : IT : Services / License,11199.11,0,Pending Approval,Primavera P6 Enterprise Project Portfolio Management,
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,189392,6/9/2026,7/9/2026,Jun-26,Bill,Development : Asset Procurement : Asset Procurement Procore,1600241.75,0,Pending Approval,April - June Procurement,
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2319,6/9/2026,6/9/2026,Jun-26,Bill,Infrastructure : Residential Improvements - Infra,4712.57,4712.57,Paid In Full,labor and materials,6/12/2026
"Nexus Data Centers, LLC",Double Vision,128,6/10/2026,6/10/2026,Jun-26,Bill,Corporate : Marketing / Branding,4250,4250,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC",Business Branders LLC,10017,6/10/2026,7/10/2026,Jun-26,Bill,Corporate : Marketing / Branding,20156.73,0,Pending Approval,Various Branded Items,
"Nexus Data Centers, LLC",Business Branders LLC,10018,6/10/2026,7/10/2026,Jun-26,Bill,Corporate : Marketing / Branding,2449.47,0,Pending Approval,T-Shirts,
"Nexus Data Centers, LLC",Business Branders LLC,10019,6/10/2026,7/10/2026,Jun-26,Bill,Corporate : Marketing / Branding,538.73,0,Pending Approval,T-Shirts,
"Nexus Data Centers, LLC",Game On,231461999,6/10/2026,,Jun-26,Bill,Corporate : Marketing / Branding,2533.06,2533.06,Paid In Full,Pool Table - Shuffleboard - for Event,6/17/2026
"Nexus Data Centers, LLC","Oracle America, Inc.",2513387,6/10/2026,7/13/2026,Jun-26,Bill,Corporate : IT : Services / License,1335.63,0,Pending Approval,Coverage 6/12/26 - 9/11/26,
"Nexus Data Centers, LLC",Laurel & Finch,L&F061026,6/10/2026,6/10/2026,Jun-26,Bill,Corporate : Marketing / Branding,9864.84,9864.84,Paid In Full,Flowers & Decor - Investors Day,6/17/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10531303,6/11/2026,6/11/2026,Jun-26,Bill,Corporate : Legal,7567,0,Open,services 5/7/26 - 5/28/26,
"Nexus Hubbard Power, LLC","Haynes and Boone, LLP",21768810,6/11/2026,7/11/2026,Jun-26,Bill,Corporate : Legal,29641.5,0,Pending Approval,"Services Through  May 31, 2026",
"Nexus Land Holdings, LLC",Rachel Massey,RM061026,6/11/2026,,Jun-26,Bill,Infrastructure : Site Services - Infra,2720,2720,Paid In Full,5/20/26 - 6/10/26,6/12/2026
"Nexus Data Centers, LLC",Specialty Livestock Systems,1330,6/12/2026,6/13/2026,Jun-26,Bill,Corporate : Marketing / Branding,8580,8580,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC",Bleacher Rentals Florida LLC,231560519,6/12/2026,6/12/2026,Jun-26,Bill,Corporate : Marketing / Branding,6495,6495,Paid In Full,Investor Day,6/17/2026
"Nexus Data Centers, LLC",Holland & Knight LLP,33968051,6/12/2026,6/12/2026,Jun-26,Bill,Corporate : Legal,7410,0,Open,May Services,
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41928,6/12/2026,7/12/2026,Jun-26,Bill,Corporate : Marketing / Branding,8389.38,0,Pending Approval,Signage,
"Nexus Data Centers, LLC",Bright Event Rentals,464348,6/12/2026,,Jun-26,Bill,Corporate : Marketing / Branding,32841.97,32841.97,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC",Folk & Rowe,231506480,6/14/2026,6/14/2026,Jun-26,Bill,Corporate : Marketing / Branding,25398.07,25398.07,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC",Bright Event Rentals,465152,6/14/2026,6/14/2026,Jun-26,Bill,Corporate : Marketing / Branding,42728.81,42728.81,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC",Bright Event Rentals,465442,6/14/2026,6/14/2026,Jun-26,Bill,Corporate : Marketing / Branding,657.13,657.13,Paid In Full,Investor Day Event,6/17/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1012,6/15/2026,6/30/2026,Jun-26,Bill,Infrastructure : Site Services - Infra,3025.6,0,Pending Approval,Lawncare Maintenance,
"Nexus Data Centers, LLC",Flex 9,1288,6/15/2026,6/22/2026,Jun-26,Bill,Corporate : Marketing / Branding,3500,3500,Paid In Full,Investor Day,6/17/2026
"Nexus Data Centers, LLC",Bright Event Rentals,465159,6/15/2026,6/15/2026,Jun-26,Bill,Corporate : Marketing / Branding,55582.26,55582.26,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC","Ultera, llc",663,6/15/2026,6/30/2026,Jun-26,Bill,Corporate : Workforce,26000,0,Pending Approval,Recruiting fees for start-up staffing,
"Nexus Data Centers, LLC",Shag Carpet Productions,R081898,6/15/2026,6/15/2026,Jun-26,Bill,Corporate : Marketing / Branding,3958.11,3958.11,Paid In Full,Investor Day,6/17/2026
"Nexus Data Centers, LLC",Bright Event Rentals,465174,6/16/2026,6/16/2026,Jun-26,Bill,Corporate : Marketing / Branding,21785.31,21785.31,Paid In Full,Investor Day Event,6/17/2026
"Nexus Data Centers, LLC",PBR Entertainment,INV-2026-001,6/16/2026,6/16/2026,Jun-26,Bill,Corporate : Marketing / Branding,3000,3000,Paid In Full,Investor Day,6/17/2026
"Nexus Data Centers, LLC",Matthew C McDaniel,MCM-2026-002,6/16/2026,6/25/2026,Jun-26,Bill,Corporate : Accounting,44700.52,0,Open,"May 11, 2026 – June 12, 2026",
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,16,6/17/2026,6/17/2026,Jun-26,Bill,Infrastructure : Site Services - Infra,140.72,0,Open,Bee Extraction/hive Recuse,
"Nexus Data Centers, LLC",Marcona Kitchen,6182026,6/17/2026,6/17/2026,Jun-26,Bill,Corporate : Marketing / Branding,2100.05,2100.05,Paid In Full,Investor Day,6/17/2026
"Nexus Land Holdings, LLC",Luisa V Savage,8,6/17/2026,6/17/2026,Jun-26,Bill,Infrastructure : Site Services - Infra,2662.8,0,Open,June 1 - June 15,
"Nexus Data Centers, LLC",Premiere Transportation,PT061826,6/18/2026,6/18/2026,Jun-26,Bill,Corporate : Marketing / Branding,8477.38,8477.38,Paid In Full,Investor Day Event,6/17/2026
PROJECT APEX - PowerCo,Sourceblue,01 29 73-SBL-2026-04,6/15/2026,,,Open Procore,,179000142.2,,Open Procore,SourceBlue Payment Application No.4 - June 2026,
PROJECT APEX - DataCo,Industrial Electrical Supply,01 29 73-IES-26360,6/12/2026,,,Open Procore,,35981359.49,,Open Procore,Invoice 26360: 30% PO EXECUTION FOR HB2 MV SWITCHGEAR (NEXUS PO 1037),
PROJECT APEX - DataCo,Yates,01 29 73-WGY-5302601-04,6/8/2026,,,Open Procore,,33894267.79,,Open Procore,CONSTR INV WGY 5302601-04,
PROJECT APEX - DataCo,Industrial Electrical Supply,01 29 73-IES-26356,6/12/2026,,,Open Procore,,13813402.61,,Open Procore,Invoice 26356: 30% PO EXECUTION FOR HB2 MV TRANSFORMERS (NEXUS PO 1033),
PROJECT APEX - DataCo,Industrial Electrical Supply,01 29 73-IES-26357,6/12/2026,,,Open Procore,,9938044.12,,Open Procore,Invoice 26357: 30% PO EXECUTION FOR HB2 LV SWITCHBOARDS (NEXUS PO 1034),
PROJECT APEX - DataCo,Industrial Electrical Supply,01 29 73-IES-26359,6/12/2026,,,Open Procore,,9243959.01,,Open Procore,Invoice 26359: 30% PO EXECUTION FOR HB2 UPS& INVERTERS (NEXUS PO 1036),
PROJECT APEX - DataCo,Industrial Electrical Supply,01 29 73-IES-26388,6/16/2026,,,Open Procore,,8912769.5,,Open Procore,Invoice 26388: 30% Shipment Confirmation Nexus PO 1010,
PROJECT APEX - PowerCo,WR Utilities,01 29 73-WRU-1,6/12/2026,,,Open Procore,,3618878,,Open Procore,WRU INV 1 -Berms,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-2,6/15/2026,,,Open Procore,,1817317.6,,Open Procore,HDR HB2 Invoice #1200836164,
PROJECT APEX - PowerCo,Honeywell,01 29 73-5273122951,6/12/2026,,,Open Procore,,1744280.99,,Open Procore,Honeywell ICSS Project Milestone 1 Invoice 5273122951 for Nexus PO Number 1031,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-6,6/15/2026,,,Open Procore,,1082296.8,,Open Procore,HDR HB1 Invoice #1200836170,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-1,6/15/2026,,,Open Procore,,905250,,Open Procore,HDR HB3 Invoice #1200836166,
PROJECT APEX - DataCo,Industrial Electrical Supply,01 29 73-IES-26358,6/12/2026,,,Open Procore,,831433.24,,Open Procore,Invoice 26358: 30% PO EXECUTION FOR HB2 GENERATORS (NEXUS PO 1035),
PROJECT APEX - DataCo,CorePhase,01 29 73-WGY-PC-05,6/2/2026,,,Open Procore,,678559.8,,Open Procore,CorePhase Invoice: 2025-NEX-001-007,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-1 W/WW/SW,6/15/2026,,,Open Procore,,457970,,Open Procore,"HDR INV HDR Water, Wastewater, Stormwater Invoice #1",
PROJECT APEX - DataCo,HDR,01 29 73-HDR-3,6/15/2026,,,Open Procore,,419957.54,,Open Procore,HDR HB1 CA Invoice #1200836168,
PROJECT APEX - DataCo,Yates,01 29 73-WGY-PC-04,6/3/2026,,,Open Procore,,256283.09,,Open Procore,WGY Pay Application PC-04,
PROJECT APEX - PowerCo,SLR International,01 29 73-SLR-10026037,5/14/2026,,,Open Procore,,41008.53,,Open Procore,SLR INV - Nexus PSD Air Permitting,
PROJECT APEX - PowerCo,NAES,01 29 73-NAES-4084.1,6/17/2026,,,Open Procore,,29530.75,,Open Procore,INV CONS-000004084 Apex Nexus HQ 03-26,
PROJECT APEX - PowerCo,Audio Video Solutions,01 29 73-AVS 2,6/17/2026,,,Open Procore,,4483.33,,Open Procore,AVS INV Payment 2 for Proposal #1787,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-design_proposal,4/21/2026,,,Open Procore,,,,Open Procore,INV-HDR: Design Proposal for HB2,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-11,5/28/2026,,,Open Procore,,,,Open Procore,INV-HDR 11: HDR Invoice Nexus HB1 Inv 1200827176,
PROJECT APEX - PowerCo,IPI Accounting,01 29 73-IPI-011,6/16/2026,,,Open Procore,,,,Open Procore,Nexus Invoicing - May 2026,
PROJECT APEX - PowerCo,Forgen,01 29 73-FOR-1,6/11/2026,,,Open Procore,,,,Open Procore,FOR INV 01 - Forgen PowerCo 4/26-5/17,
PROJECT APEX - DataCo,Carrier,01 29 73-Carrier-910043660,6/15/2026,,,Open Procore,,,,Open Procore,CARRIER INV: 910043660 PO accept 10RTU-DOAS,
PROJECT APEX - DataCo,Carrier,01 29 73-Carrier-910043659,6/15/2026,,,Open Procore,,,,Open Procore,CARRIER INV 910043659 20ACC Purchasing Start,
PROJECT APEX - DataCo,International SOS,01 29 73-ISOS-01-IMUE260948,6/16/2026,,,Open Procore,,,,Open Procore,ISOS INV 01 IMUE260948,
PROJECT APEX - PowerCo,SLR International,01 29 73-SLR-10025335,5/20/2026,,,Open Procore,,,,Open Procore,SLR INV Nexus PSD Air Permitting,
PROJECT APEX - DataCo,Carrier,01 29 73-Carrier-910043663,6/15/2026,,,Open Procore,,,,Open Procore,CARRIER INV 910043663 Eng Start Fee,
PROJECT APEX - PowerCo,Foster Fence,01 29 73-FF-140326.1,6/17/2026,,,Open Procore,,1717368.14,,Open Procore,FF INV. MAY INVOICE # 140326.1,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-13,5/28/2026,,,Open Procore,,,,Open Procore,INV-HDR 13: HDR Nexus HB1 CA Inv 1200827174,
PROJECT APEX - PowerCo,Creatum Energy,01 29 73-CRE-260522-001,6/1/2026,,,Open Procore,,,,Open Procore,Creatum Energy Long Lead Items Invoice,
PROJECT APEX - DataCo,Forgen,01 29 73-FOR-01,6/11/2026,,,Open Procore,,,,Open Procore,FOR INV 01 - Forgen DataCo 4/26-5/15,
PROJECT APEX - PowerCo,"Industrial Project Innovation, LLC",01 29 73-KWANT-1,6/12/2026,,,Open Procore,,,,Open Procore,KWANT INV - 001,
PROJECT APEX - DataCo,Carrier,01 29 73-Carrier-910043656,6/15/2026,,,Open Procore,,,,Open Procore,910043656 10AAC PO Acceptance,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-12,5/28/2026,,,Open Procore,,,,Open Procore,INV-HDR 12: HDR Nexus HB2 Inv 1200827173,
PROJECT APEX - DataCo,Terracon,01 29 73-TQ-64351,5/6/2026,,,Open Procore,,,,Open Procore,INV-TQ64351 - March: Materials Testing and Lab Services,
PROJECT APEX - DataCo,HDR,01 29 73-HDR-1200827169,5/28/2026,,,Open Procore,,,,Open Procore,HDR April Invoice Nexus Apex Campus Planning INV 1200827169,
PROJECT APEX - DataCo,Carrier,01 29 73-Carrier-910043661,6/15/2026,,,Open Procore,,,,Open Procore,CARRIER INV - 910043661 20RTU DOAS,
